Countries,Hotel and restaurant prices,Global rank,Available data
Iceland,232.37,1,2017 - 2017
Norway,206.57,2,2017 - 2017
Switzerland,203.18,3,2017 - 2017
Bermuda,198.36,4,2017 - 2017
Denmark,189.75,5,2017 - 2017
Sweden,182.92,6,2017 - 2017
Israel,176.01,7,2017 - 2017
Australia,161.57,8,2017 - 2017
Finland,160.6,9,2017 - 2017
Seychelles,160.02,10,2017 - 2017
Ireland,151.45,11,2017 - 2017
Belgium,149.13,12,2017 - 2017
Canada,148.32,13,2017 - 2017
France,147.23,14,2017 - 2017
South Korea,145.92,15,2017 - 2017
Netherlands,141.25,16,2017 - 2017
Luxembourg,141.12,17,2017 - 2017
New Zealand,140.97,18,2017 - 2017
Germany,137.9,19,2017 - 2017
Austria,132.87,20,2017 - 2017
UK,131.75,21,2017 - 2017
Italy,131.33,22,2017 - 2017
St. Vincent & The Grenadines,131.16,23,2017 - 2017
Japan,129.06,24,2017 - 2017
USA,127.71,25,2017 - 2017
Barbados,124.83,26,2017 - 2017
Tr.& Tobago,120.76,27,2017 - 2017
Bahamas,118.98,28,2017 - 2017
Ecuador,118.35,29,2017 - 2017
Cyprus,115.34,30,2017 - 2017
Uruguay,114.64,31,2017 - 2017
Saint Lucia,113.97,32,2017 - 2017
Spain,107.29,33,2017 - 2017
Estonia,106.71,34,2017 - 2017
Ant.& Barb.,105.93,35,2017 - 2017
Chile,104.37,36,2017 - 2017
Greece,103.71,37,2017 - 2017
Slovenia,102.99,38,2017 - 2017
Kuwait,102.9,39,2017 - 2017
Latvia,102.56,40,2017 - 2017
Malta,101.62,41,2017 - 2017
Aruba,96.84,42,2017 - 2017
Portugal,96.82,43,2017 - 2017
Slovakia,94.58,44,2017 - 2017
Qatar,94.27,45,2017 - 2017
Botswana,93.59,46,2017 - 2017
UA Emirates,93.48,47,2017 - 2017
Croatia,92.46,48,2017 - 2017
Poland,92.4,49,2017 - 2017
Costa Rica,90.98,50,2017 - 2017
Brazil,90.79,51,2017 - 2017
Argentina,89.24,52,2017 - 2017
Hong Kong,88.62,53,2017 - 2017
Lithuania,86.66,54,2017 - 2017
Mauritius,86.66,55,2017 - 2017
C.A. Republic,86.26,56,2017 - 2017
Montserrat,84.58,57,2017 - 2017
Panama,80.55,58,2017 - 2017
Eq. Guinea,80.17,59,2017 - 2017
Russia,80.01,60,2017 - 2017
Bahrain,79.28,61,2017 - 2017
Angola,79.22,62,2017 - 2017
Turkey,78.22,63,2017 - 2017
Djibouti,76.22,64,2017 - 2017
Hungary,75.87,65,2017 - 2017
Czechia,75.54,66,2017 - 2017
China,75.24,67,2017 - 2017
G.-Bissau,74.97,68,2017 - 2017
Iran,74.6,69,2017 - 2017
Montenegro,73.7,70,2017 - 2017
Zimbabwe,73.27,71,2017 - 2017
Peru,72.12,72,2017 - 2017
Senegal,70.55,73,2017 - 2017
Grenada,70.45,74,2017 - 2017
Singapore,70.37,75,2017 - 2017
Domin. Rep.,69.79,76,2017 - 2017
Togo,69.43,77,2017 - 2017
R. of Congo,69.2,78,2017 - 2017
Bosnia & Herz.,68.98,79,2017 - 2017
Kyrgyzstan,68.42,80,2017 - 2017
Armenia,68.35,81,2017 - 2017
Iraq,67.87,82,2017 - 2017
Namibia,67.54,83,2017 - 2017
Mali,67.27,84,2017 - 2017
Kazakhstan,67.06,85,2017 - 2017
DR Congo,67.02,86,2017 - 2017
Swaziland,66.55,87,2017 - 2017
Belarus,66.36,88,2017 - 2017
Belize,66.3,89,2017 - 2017
Romania,66.04,90,2017 - 2017
El Salvador,65.92,91,2017 - 2017
Guyana,65.03,92,2017 - 2017
Cape Verde,64.65,93,2017 - 2017
Tajikistan,64.45,94,2017 - 2017
Moldova,64.37,95,2017 - 2017
Jordan,63.76,96,2017 - 2017
Mexico,63.31,97,2017 - 2017
Serbia,63.25,98,2017 - 2017
Fiji,63.21,99,2017 - 2017
South Africa,62.93,100,2017 - 2017
Dominica,62.86,101,2017 - 2017
Comoros,62.8,102,2017 - 2017
Jamaica,62.09,103,2017 - 2017
Colombia,60.78,104,2017 - 2017
Georgia,60.71,105,2017 - 2017
Paraguay,60.5,106,2017 - 2017
Saudi Arabia,60.33,107,2017 - 2017
Gabon,60.16,108,2017 - 2017
Uganda,59.97,109,2017 - 2017
Lesotho,59.4,110,2017 - 2017
Azerbaijan,59.3,111,2017 - 2017
Oman,58.29,112,2017 - 2017
Laos,58.18,113,2017 - 2017
Morocco,57.5,114,2017 - 2017
Suriname,57.36,115,2017 - 2017
S.T.&Principe,57.25,116,2017 - 2017
Benin,57.19,117,2017 - 2017
Bulgaria,56.23,118,2017 - 2017
Nicaragua,56.13,119,2017 - 2017
Taiwan,56.02,120,2017 - 2017
Liberia,55.09,121,2017 - 2017
Cameroon,54.39,122,2017 - 2017
Rwanda,53.87,123,2017 - 2017
North Macedonia,53.86,124,2017 - 2017
Brunei,50.86,125,2017 - 2017
Albania,50.78,126,2017 - 2017
Maldives,50.58,127,2017 - 2017
Ivory Coast,50.05,128,2017 - 2017
Ghana,49.72,129,2017 - 2017
Sri Lanka,49.53,130,2017 - 2017
Niger,49.29,131,2017 - 2017
Malawi,49.24,132,2017 - 2017
Philippines,48.52,133,2017 - 2017
Zambia,47.62,134,2017 - 2017
Honduras,47.1,135,2017 - 2017
Chad,46.19,136,2017 - 2017
Mongolia,46.16,137,2017 - 2017
Gambia,45.97,138,2017 - 2017
Haiti,45.18,139,2017 - 2017
Burkina Faso,44.87,140,2017 - 2017
Burundi,43.29,141,2017 - 2017
Mozambique,43.2,142,2017 - 2017
Bolivia,43.09,143,2017 - 2017
India,42.25,144,2017 - 2017
Pakistan,41.76,145,2017 - 2017
Cambodia,41.38,146,2017 - 2017
Bangladesh,40.86,147,2017 - 2017
Indonesia,40.66,148,2017 - 2017
Thailand,40.4,149,2017 - 2017
Malaysia,39.3,150,2017 - 2017
Nigeria,39,151,2017 - 2017
Kenya,38.81,152,2017 - 2017
Mauritania,38.51,153,2017 - 2017
Tunisia,37.86,154,2017 - 2017
Burma,36.81,155,2017 - 2017
Sierra Leone,36.56,156,2017 - 2017
Vietnam,35.01,157,2017 - 2017
Algeria,33.93,158,2017 - 2017
Bhutan,33.69,159,2017 - 2017
Guinea,33.39,160,2017 - 2017
Ethiopia,33.08,161,2017 - 2017
Madagascar,33.01,162,2017 - 2017
Ukraine,32.17,163,2017 - 2017
Tanzania,30.13,164,2017 - 2017
Nepal,29.76,165,2017 - 2017
Sudan,28.8,166,2017 - 2017
Egypt,26.44,167,2017 - 2017